Naam;URN;Waarde;IMBRO;IMBRO/A;Definitie
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"matigKort10tot20mm";"Ja";"Nee";"De verticale as is tussen de 10 en 20 mm."
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"matigLang20tot50mm";"Ja";"Nee";"De verticale as is tussen de 20 en 50 mm."
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"lang50tot200mm";"Ja";"Nee";"De verticale as is tussen de 50 en 200 mm."
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"zeerLang200tot500mm";"Ja";"Nee";"De verticale as is tussen de 200 en 500 mm."
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"uiterstLangMeerDan500mm";"Ja";"Nee";"De verticale as is groter dan 500 mm. "
"Aggregaatvorm";"urn:bro:sfr:AggregateShape";"blok";"Ja";"Nee";"Het gemiddelde aggregaat is in alle richtingen ongeveer even lang."
"Aggregaatvorm";"urn:bro:sfr:AggregateShape";"plaat";"Ja";"Nee";"Het gemiddelde aggregaat is in twee van de drie richtingen ongeveer even lang, maar in de derde veel korter. "
"Aggregaatvorm";"urn:bro:sfr:AggregateShape";"prisma";"Ja";"Nee";"Het gemiddelde aggregaat is in twee van de drie richtingen ongeveer even lang, maar in de derde veel langer."
"Bedekkingsgraad ";"urn:bro:sfr:MottlingDensity";"weinig0tot2";"Ja";"Nee";"De vlekken beslaan tussen de 0 en 2% van het oppervlak. "
"Bedekkingsgraad ";"urn:bro:sfr:MottlingDensity";"matig2tot20";"Ja";"Nee";"De vlekken beslaan tussen de 2 en 20% van het oppervlak. "
"Bedekkingsgraad ";"urn:bro:sfr:MottlingDensity";"veel20tot50";"Ja";"Nee";"De vlekken beslaan meer dan 20% tot maximaal 50% van het oppervlak."
"Beschrijfkwaliteit";"urn:bro:sfr:DescriptionQuality";"standaard";"Ja";"Nee";"De beschrijving van de opbouw van de bodem voldoet aan de minimum eisen. Deze kwaliteit dekt alle historische beschrijvingen en volstaat ook na 2019 voor veel projectkarteringen."
"Beschrijfkwaliteit";"urn:bro:sfr:DescriptionQuality";"hoog";"Ja";"Nee";"De beschrijving van de opbouw van de bodem voldoet aan de eisen die vanaf 2019 gelden voor het definiëren van nieuwe kaarteenheden. Dit type onderzoek impliceert veelal het graven van een profielkuil."
"Beschrijfprocedure";"urn:bro:sfr:DescriptionProcedure";"AlterraTD19Av1995";"Ja";"Nee";"Technisch Document 19 A van DLO Staring Centrum, nu Wageningen Environmental Research. Deze versie is sinds 1995 in gebruik. "
"Beschrijfprocedure";"urn:bro:sfr:DescriptionProcedure";"AlterraTD19Av2020";"Ja";"Nee";"Technisch Document 19 A van DLO Staring Centrum, nu Wageningen Environmental Research met de updated die ingaat in het jaar 2020."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"geen";"Ja";"Nee";"Geen bijzondere bestanddelen."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"artefact";"Ja";"Nee";"Een antropogeen bestanddeel: de niet nader omschreven (resten van) voorwerpen die door de mens gemaakt zijn."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"botresten";"Ja";"Nee";"Een natuurlijk bestanddeel: resten van botten."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"glauconiet";"Ja";"Nee";"Een natuurlijk bestanddeel: groene, groenige of bruine korrels die uit glauconiet of goethiet bestaan. "
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"glimmer";"Ja";"Nee";"Een natuurlijk bestanddeel: gladde plaatvormige deeltjes die meestal uit de mineralen muskoviet of biotiet bestaan. Synoniem is mica."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"houtskool";"Ja";"Nee";"Een antropogeen of natuurlijk bestanddeel: door verbranding verkoolde resten van hout, meestal gebroken stukjes."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"huisvuil";"Ja";"Nee";"Een antropogeen bestanddeel: niet nader omschreven huishoudelijk afval. "
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"ijzeroer";"Ja";"Nee";"Een natuurlijk bestanddeel: delen van de grond die door ijzer(hydr)oxiden tot een geheel zijn verkit."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"kalkconcreties";"Ja";"Nee";"Een natuurlijk bestanddeel: delen van de grond die door carbonaat tot een geheel zijn verkit, bijvoorbeeld een septarie. Ook wel losspoppetjes genoemd in löss."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"plantenrestenHoutig";"Ja";"Nee";"Een natuurlijk bestanddeel: de houtige, onverteerde resten van planten, zoals stammen (kienhout) en takken. "
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"plantenrestenNietHoutig";"Ja";"Nee";"Een natuurlijk bestanddeel: de niet-houtige, onverteerde resten van planten, zoals worteltjes, rietstengels en bladeren. "
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"puin";"Ja";"Nee";"Een antropogeen bestanddeel: bouw- en sloopafval, veelal een mengsel van stenige materialen die door de mens gemaakt of bewerkt zijn; soilmix, een mengsel van de grond ter plaatse met een materiaal als cement of waterglas, wordt ook hiertoe gerekend. "
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"stenen";"Ja";"Nee";"Stenen van natuurlijk materiaal die gebruikt zijn als ballast of stortsteen of het bijproduct zijn van mijnbouw."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"toemaak";"Ja";"Nee";"Een antropogeen bestanddeel: mengsel van aangevoerd stadsvuil en duinzand, vaak gemengd met lokaal aanwezige slootbagger."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"vivianiet";"Ja";"Nee";"Een natuurlijk bestanddeel: blauwe, groenige of kleurloze korrels die uit vivianiet bestaan. "
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"vuursteen";"Ja";"Nee";"Een natuurlijk bestanddeel: concreties die bestaan uit vrijwel amorfe kwarts."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"wegverhardingsmateriaal";"Ja";"Nee";"Antropogeen materiaal: materiaal dat gebruikt is voor het verharden van wegen en erven. Voorbeelden zijn asfalt, betonklinkers, klinkers, steenslag en tegels."
"BijzonderBestanddeel";"urn:bro:sfr:TertiaryConstituent";"verbrandingsresten";"Ja";"Nee";"Antropogeen materiaal: minerale verbrandingsresten met een diameter vergelijkbaar met die van silt en lutum (kleiner dan 63µm), veelal vliegas genoemd. Of met een diameter die vergelijkbaar is met zand (0.063 - 2 mm), veelal bodemas genoemd. Of met een diameter groter dan 2mm; veelal slakken genoemd."
"BijzonderMateriaal";"urn:bro:sfr:SpecialMaterial";"huisvuil";"Ja";"Nee";"Antropogeen materiaal: niet nader omschreven huishoudelijk afval."
"BijzonderMateriaal";"urn:bro:sfr:SpecialMaterial";"oer";"Ja";"Nee";"Natuurlijk materiaal: IJzerverkitting die op natuurlijke wijze door inspoeling is gevormd."
"BijzonderMateriaal";"urn:bro:sfr:SpecialMaterial";"puin";"Ja";"Nee";"Antropogeen materiaal: bouw- en sloopafval, veelal een mengsel van stenige materialen die door de mens gemaakt of bewerkt zijn; soilmix, een mengsel van de grond ter plaatse met een materiaal als cement of waterglas, wordt ook hiertoe gerekend."
"BijzonderMateriaal";"urn:bro:sfr:SpecialMaterial";"wegverhardingsmateriaal";"Ja";"Nee";"Antropogeen materiaal: materiaal dat gebruikt is voor het verharden van wegen en erven. Voorbeelden zijn asfalt, betonklinkers, klinkers, steenslag en tegels. "
"BijzonderMateriaal";"urn:bro:sfr:SpecialMaterial";"verbrandingsresten";"Ja";"Nee";"Antropogeen materiaal: minerale verbrandingsresten met een diameter vergelijkbaar met die van silt en lutum (kleiner dan 63µm), veelal vliegas genoemd. Of met een diameter die vergelijkbaar is met zand (0.063 - 2 mm), veelal bodemas genoemd. Of met een diameter groter dan 2mm; veelal slakken genoemd."
"BijzonderMateriaal";"urn:bro:sfr:SpecialMaterial";"vivianiet";"Ja";"Nee";"Natuurlijk materiaal: Het kleurloze, blauwe of groene vivianiet heeft een parel- tot glasglans, een blauwwitte streepkleur en een perfecte splijting volgens kristalvlak [010]. De gemiddelde dichtheid is 2,65 en de hardheid is 1,5 tot 2. Het kristalstelsel is monoklien en het mineraal is niet radioactief. Vivianiet komt veel voor als secundair mineraal in metallische erts afzettingen, pegmatieten en in door organisch materiaal gedomineerde fosfaatgesteenten. "
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"geen";"Ja";"Nee";"Geen bijzonderheden in het lagere deel van het profiel geconstateerd."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"bolster";"Ja";"Nee";"Bolster, beginnend binnen 40 cm en ten minste 20 cm dik (code "j"). Van toepassing bij veengronden en moerige gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"glauconietklei";"Ja";"Nee";"Glauconietklei, beginnend tussen 40 en 120 cm en ten minste 20 cm dik (code "a"). Van toepassing bij alle gronden behalve bij kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"grofZandGrind";"Ja";"Nee";"Grof zand en/of grind, beginnend tussen 40 en 80 cm en ten minste 40 cm dik of beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm (code "g"). Van toepassing bij alle gronden behalve bij kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"kalksteenKleefaarde";"Ja";"Nee";"Kalksteen of kleefaarde, beginnend tussen 40 en 120 cm (code "k"). Van toepassing bij leemgronden, brikgronden en kleigronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"katteklei";"Ja";"Nee";"Katteklei, beginnend binnen 80 cm en ten minste 20 cm dik (code "l"). Van toepassing bij veengronden, moerige gronden en kleigronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"keileemPotklei";"Ja";"Nee";"Keileem of potklei, beginnend tussen 40 en 120 cm en ten minste 20 cm dik (code "x"). Van toepassing bij alle gronden behalve bij brikgronden, kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"moerigeLaag";"Ja";"Nee";"Moerige laag beginnend binnen 80 cm en tenminste 40 cm dik (code "m"). Van toepassing bij podzolgronden, kalkloze en kalkhoudende zandgronden en leemgronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"moerigMateriaalDiep";"Ja";"Nee";"Moerig materiaal, beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm (code "v"). Van toepassing bij alle gronden behalve bij veengronden, brikgronden en niet-gerijpte minerale gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"moerigMateriaalOndiep";"Ja";"Nee";"Moerig materiaal, beginnend tussen 40 en 80 cm en 15 à 40 cm dik ( code "w"). Van toepassing bij podzolgronden, kalkloze en kalkhoudende zandgronden, leemgronden en kleigronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"oudeKlei";"Ja";"Nee";"Oude klei, anders dan keileem, potklei of glauconietklei, beginnend tussen 40 en 120 cm en ten minste 20 cm dik (code "t"). Van toepassing bij alle gronden behalve bij kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"spalterveen";"Ja";"Nee";"Spalterveen, ten minste 5 cm dik en direct onder de A-horizont beginnend (code "q"). Van toepassing bij veengronden en moerige gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"vuursteeneluvium";"Ja";"Nee";"Vuursteeneluvium, beginnend tussen 40 en 120 cm en ten minste 20 cm dik (code "s"). Van toepassing bij alle gronden behalve bij kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"zandHoloceen";"Ja";"Nee";"Holoceen zand, beginnend tussen 40 en 120 cm en ten minste 20 cm dik (code "z"). Van toepassing bij niet-gerijpte minerale gronden en kleigronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"zandPleistoceen";"Ja";"Nee";"Pleistoceen zand, beginnend tussen 40 en 120 cm (code "p"). Van toepassing bij kalkhoudende zandgronden en kleigronden."
"Bijzonderheid";"urn:bro:sfr:SpecialFeature";"zavelKleiHalfGerijpt";"Ja";"Nee";"Meestal niet geheel gerijpte zavel of klei, beginnend tussen 40 en 120 cm; zepige zavel of klei (code "r"). Van toepassing bij moerige gronden, podzolgronden, kalkloze en kalkhoudende zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"geen";"Ja";"Nee";"Geen bijzonderheden in het bovendeel van het profiel."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"colluviaalDek";"Ja";"Nee";"Colluviaal dek, beginnend aan maaiveld (code "c"). Van toepassing alleen bij brikgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"colluviaalDekGrind";"Ja";"Nee";"Colluviaal dek, beginnend aan maaiveld en grind, ondieper dan 40 cm beginnend (code "cg"). Van toepassing alleen bij brikgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"colluviaalDekIJzerrijk";"Ja";"Nee";"Colluviaal dek, beginnend aan maaiveld en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "cf"). Van toepassing alleen bij brikgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"colluviaalDekStenen";"Ja";"Nee";"Colluviaal dek, beginnend aan maaiveld en stenen in de bovenste 40 cm van het profiel (code "cm"). Van toepassing alleen bij brikgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"getijdeInvloed";"Ja";"Nee";"Beïnvloed door getijde op overgang van zeeklei – rivierklei (code "e"). Van toepassing bij niet-gerijpte minerale gronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"getijdeInvloedGrind";"Ja";"Nee";"Beïnvloed door getijde op overgang van zeeklei - rivierklei en grind, ondieper dan 40 cm beginnend (code "eg"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"getijdeInvloedIJzerrijk";"Ja";"Nee";"Beïnvloed door getijde op overgang van zeeklei - rivierklei en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "ef"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"getijdeInvloedStenen";"Ja";"Nee";"Beïnvloed door getijde op overgang van zeeklei - rivierklei en stenen in de bovenste 80 cm van het profiel en stenen in de bovenste 40 cm van het profiel (code "em"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"getijdeInvloedZouthoudend";"Ja";"Nee";"Beïnvloed door getijde op overgang van zeeklei - rivierklei en zout kwelwater in de bovenste 40 cm van het profiel (code "en"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"grind";"Ja";"Nee";"Grind, ondieper dan 40 cm beginnend (code "g"). Van toepassing bij alle gronden behalve bij kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"ijzerrijk";"Ja";"Nee";"IJzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik. De waarde is in toevoeging vooraan in de standaardpuntencode opgenomen met code "f". Van toepassing bij alle gronden behalve bij kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"ijzerrijkGrind";"Ja";"Nee";"IJzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik en grind, ondieper dan 40 cm beginnend ( code "fg"). Van toepassing bij alle gronden behalve bij kalkhoudende zandgronden en niet-gerijpte minerale gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"ijzerrijkStenen";"Ja";"Nee";"IJzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik en stenen in de bovenste 40 cm van het profiel (code "fm"). Van toepassing bij podzolgronden, kalkloze zandgronden, leemgronden, brikgronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"kolenslik";"Ja";"Nee";"Kolenslik in de bovenste 80 cm van het profiel, over 15 à 40 cm dikte (code "h"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"kolenslikGrind";"Ja";"Nee";"Kolenslik in de bovenste 80 cm van het profiel, over 15 à 40 cm dikte en grind, ondieper dan 40 cm beginnend (code "hg"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"kolenslikStenen";"Ja";"Nee";"Kolenslik in de bovenste 80 cm van het profiel, over 15 à 40 cm dikte en stenen in de bovenste 40 cm van het profiel (code "hm"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"kruinigePercelen";"Ja";"Nee";"Bol geploegd en daardoor op korte afstand verschil in dikte bovenste lagen (code "b"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"kruinigePercelenGrind";"Ja";"Nee";"Bol geploegd en daardoor op korte afstand verschil in dikte bovenste lagen en grind, ondieper dan 40 cm beginnend (code "bg"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"kruinigePercelenIJzerrijk";"Ja";"Nee";"Bol geploegd en daardoor op korte afstand verschil in dikte bovenste lagen en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "bf"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"kruinigePercelenStenen";"Ja";"Nee";"Bol geploegd en daardoor op korte afstand verschil in dikte bovenste lagen en stenen in de bovenste 40 cm van het profiel (code "bm"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"lössdek";"Ja";"Nee";"Lössdek, beginnend aan maaiveld en 15 à 40 cm dik (code "l"). Van toepassing bij veengronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"lössdekGrind";"Ja";"Nee";"Lössdek, beginnend aan maaiveld en 15 à 40 cm dik en grind, ondieper dan 40 cm beginnend (code "lg"). Van toepassing bij veengronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"lössdekIJzerrijk";"Ja";"Nee";"Lössdek, beginnend aan maaiveld en 15 à 40 cm dik en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "lf"). Van toepassing bij veengronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"lössdekStenen";"Ja";"Nee";"Lössdek, beginnend aan maaiveld en 15 à 40 cm dik en stenen in de bovenste 40 cm van het profiel (code "lm"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"opgebrachtHumusrijkDek";"Ja";"Nee";"Opgebracht moerig of humusrijk dek, beginnend aan maaiveld en 15 à 50 cm dik; toemaakdek (code "o"). Van toepassing alleen bij veengronden en moerige gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"opgebrachtHumusrijkDekGrind";"Ja";"Nee";"Opgebracht moerig of humusrijk dek, beginnend aan maaiveld en 15 à 50 cm dik (toemaakdek) en grind, ondieper dan 40 cm beginnend (code "og"). Van toepassing alleen bij veengronden en moerige gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"opgebrachtHumusrijkDekIJzerrijk";"Ja";"Nee";"Opgebracht moerig of humusrijk dek, beginnend aan maaiveld en 15 à 50 cm dik (toemaakdek) en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "of"). Van toepassing alleen bij veengronden en moerige gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"opgebrachtHumusrijkDekVerdrogendeLagen";"Ja";"Nee";"Opgebracht moerig of humusrijk dek, beginnend aan maaiveld en 15 à 50 cm dik (toemaakdek) en verdrogende lagen in de bovenste 80 cm van het profiel (code "od"). Van toepassing alleen bij veengronden en moerige gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"siltZanddek";"Ja";"Nee";"Kleiig, uiterst fijn silt- of zanddek, beginnend aan maaiveld en 15 à 40 cm dik (code "u"). Van toepassing bij veengronden, podzolgronden, kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"siltZanddekGrind";"Ja";"Nee";"Kleiig, uiterst fijn silt- of zanddek, beginnend aan maaiveld en 15 à 40 cm dik en grind, ondieper dan 40 cm beginnend (code "ug"). Van toepassing bij veengronden, podzolgronden, kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"siltZanddekIJzerrijk";"Ja";"Nee";"Kleiig, uiterst fijn silt- of zanddek, beginnend aan maaiveld en 15 à 40 cm dik en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "uf"). Van toepassing bij veengronden, podzolgronden, kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"siltZanddekStenen";"Ja";"Nee";"Kleiig, uiterst fijn silt- of zanddek, beginnend aan maaiveld en 15 à 40 cm dik en stenen in de bovenste 40 cm van het profiel (code "um"). Van toepassing bij podzolgronden, kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"stenen";"Ja";"Nee";"Stenen in de bovenste 40 cm van het profiel (code "m"). Van toepassing bij podzolgronden, kalkloze zandgronden, leemgronden, brikgronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"verdrogendeLagen";"Ja";"Nee";"Verdrogende lagen in de bovenste 40 cm van het profiel (code "d"). Van toepassing bij veengronden en moerige gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"verdrogendeLagenGrind";"Ja";"Nee";"Verdrogende lagen in de bovenste 40 cm van het profiel en grind, ondieper dan 40 cm beginnend (code "dg"). Van toepassing bij veengronden en moerige gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"verdrogendeLagenIJzerrijk";"Ja";"Nee";"Verdrogende lagen in de bovenste 40 cm van het profiel en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "df"). Van toepassing bij veengronden en moerige gronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddek";"Ja";"Nee";"Zanddek, beginnend aan maaiveld en 15 à 40 cm dik (code "z"). Van toepassing bij kalkloze zandgronden, leemgronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekGrind";"Ja";"Nee";"Zanddek, beginnend aan maaiveld en 15 à 40 cm dik en grind, ondieper dan 40 cm beginnend (code "zg"). Van toepassing bij kalkloze zandgronden, leemgronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekIJzerrijk";"Ja";"Nee";"Zanddek, beginnend aan maaiveld en 15 à 40 cm dik en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "zf"). Van toepassing bij kalkloze zandgronden, leemgronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekKolenslik";"Ja";"Nee";"Zanddek, beginnend aan maaiveld en 15 à 40 cm dik en kolenslik in de bovenste 40 cm van het profiel, over 15 à 40 cm dikte (code "zh"). Van toepassing alleen bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekStenen";"Ja";"Nee";"Zanddek, beginnend aan maaiveld en 15 à 40 cm dik en stenen in de bovenste 40 cm van het profiel (code "zm"). Van toepassing bij kalkloze zandgronden, leemgronden en kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekZouthoudend";"Ja";"Nee";"Zanddek, beginnend aan maaiveld en 15 à 40 cm dik en zout kwelwater in de bovenste 40 cm van het profiel (code "zn"). Van toepassing  bij kleigronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekDun";"Ja";"Nee";"Zanddekje, beginnend aan maaiveld en 5 à 15 cm dik (code "s"). Van toepassing bij veengronden, moerige gronden, podzolgronden, kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekDunGrind";"Ja";"Nee";"Zanddekje, beginnend aan maaiveld en 5 à 15 cm dik en grind, ondieper dan 40 cm beginnend (code "sg"). Van toepassing bij veengronden, moerige gronden, podzolgronden, kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekDunIJzerrijk";"Ja";"Nee";"Zanddekje, beginnend aan maaiveld en 5 à 15 cm dik en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "sf"). Van toepassing bij veengronden, moerige gronden, podzolgronden, kalkloze zandgronden en leemgronden."
